,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
349113,349114,B0002QEIF0,AQ492CE49WYC6,taft,2,2,1,1296259200,good stuffing !,"made stuffed grape leaf quite time . used buy greek & california brand brined grape leaf grocery store ; since store n't carry , ordered `` roland '' brand . thinnest , delicate grape leaf ever worked . 50 % grape leaf usable . rest scrap . 50 % usable , thin , torn place patched together sometimes . stuffed rice , etc . never overstuff . think processed grape leaf brine solution long . far prep , rinsed put warm water gently boiled 1 minute . time never encountered leaf . knew prior gently boiling leaf fragile broke apart hand taking . n't buy brand stuff . stick another brand . ca n't remember brand used buy , think yellow label ( california ) greek one might `` krinos '' ."
443517,443518,B000634FVG,AX3O3ANDPKDIF,"blackholesun1Girl ""blackholesun1""",1,1,5,1123459200,dog one listen ...,"dog annie surgery 2 month ago ever since hard get eat anything . worried every kind dogfood brought home would n't eat . went local petssupermaket bought couple can ( proplan senior canned dogfood ) . put dish gobbled happily ! little exspensive side , think 's worth sake dog health . annie 12 year old little heavy age , thankfully 's eating dogfood love ! nutrition need great taste enjoys !"
498073,498074,B000BYAECY,ACTI7K4OERSRT,Smiley,2,2,5,1326412800,munchy beef stick,"dog crazy stick ! love ! good teeth last pretty long ... gone couple bite . get , also good price ! value price thru amazon , always . : )"
163367,163368,B000CQID1A,A28UINBMQPCKDV,doc,0,0,5,1343865600,great,great product buy again.my little dog love thesis cheaper buying store.great deal .
276371,276372,B0018Q2N3C,A2TUJI1HX80SVC,Edward King,0,0,5,1301443200,great product -- wrong price,"'m diabetic using dreamfields couple year . great product . love buy weekly price listed , would able buy one box month . sure glad local supermarket sell $ 1.99 ."
411049,411050,B0050X8EK0,A3JN0FHDFURCDL,pipperjo,0,0,5,1337212800,"sylt lingon , lingonberry preserve ,",love . also saw dr. oz show bought . almost taste like cranberry sauce . like cranberry sauce probably like also good pb & j sandwich . good ca n't get enough . 've ordered re-ordered .
516321,516322,B000H1217M,A2O9N82I49GZ4P,C. Opal,0,0,5,1333324800,great product,"great product great price . dog many food allergy sensitivity , great find healthy treat love ! also good price ."
424829,424830,B0041CIP3M,A21VGNU5959O85,Laura Terese Henri,0,0,4,1329350400,curry hurry .,"love curry , many different form preparation . love powdery yellow curry , red curry , green curry , massaman curry ... indian , thai , chinese , malaysian , south african ... case product ... rendang curry , indonesian. < br / > < br / > rendang traditionally made coconut milk , galangal , tumeric , ginger root , lemon grass , garlic , shallot , chili , spice . making dish usually take hour , box cut time bit. < br / > < br / > brown meat , whether lamb beef , pour curry mixture ( added coconut milk instead water like reviewer ) cook another 15 20 minute let get married together smelling magnificent . although indonesian dish paired jasmine rice bring flavor add another aromatic layer . also recommend serving cold side like chopped tomato , cucumber , carrot , red onion ."
195423,195424,B002I39NYQ,A1HAW3196D85ID,sue,0,0,5,1293840000,sonoma jack garlic & herb,recieved gift basket holiday ...... sceptical content .. well blown away item ..... exceptionally good ... especially ..... sonoma jack garlic & herb cheese spread .......... excellent ! ! ! ! ! !
109671,109672,B0030VJ97Q,A3FIV3X7H4VLI7,mandm,0,0,3,1310601600,good,"daughter like flavor , eat little bit vegetable fruit puree every bite . bit struggle , honestly strong fishy smell coming package . also chunkier drier pouch compared flavor ."
407943,407944,B008UD1W6K,A2XQWXRSJ0Q04I,G,1,1,5,1304726400,n't ever stop making ! ! !,best taste n't feel guilty . 35 calorie fat free ! ! ca n't live without fat free cappuccino . taste like version without guilt ! ! ! love !
409829,409830,B004LKY7NG,A1KY25HG3D9NWB,"Donald W. Cook Sr. ""PghDrake""",0,0,5,1324425600,good tasting candy,", along cherry lemon version , candy dish desk work . 've buy pound type twice last 2 month go fast , everyone seems like much ( ! ! ) ."
404362,404363,B000LKZEO6,A3H7DJ8TDWZTIC,"Julie Holy ""bookie  book""",1,3,1,1320796800,good,disappointed dairy free mac cheese -- like would make mac cheese -- always melt butter add mix - milk -- ( tried soy regular -- ) mix sauce pan -- upset first price tasted terrible -- done mac cheese mix something wrong calling mac cheese -- elbow whatever sauce -- taste like card board -- used lot different soy cheese - non dairy mix -- awful -- would n't waste money --
219292,219293,B00099XO14,A1Z54EM24Y40LL,c2,1,1,2,1338940800,super salty !,"really increased salt year - 've using occasionally 20 year buying quick dinner , certainly wo n't happening ! salt , ugh ! may well go ocean swallow mouthful , even dead sea . n't normally buy prepackaged item like preservative , one quite ridiculous . would really nice someone could invent prepackaged item like without salt whatever else n't recognize label ! 's unhealthy kid adult , especially high blood pressure . please , 're busy mom . someone invent something 's quick , easy , healthy ! ca n't recommend one - asked buy family hungry boy . know , say everything !"
361879,361880,B006N3HZ6K,A67YO0RRC61AM,ECS66,0,0,5,1323302400,"great coffee , may cancel subscription","'ve receiving jet fuel via amazon 's `` subscribe save '' program year . coffee dark strong , like . subscribe save great convenience . however , coffee price creeping , re-thinking whole single-serve coffee thing . may put away keurig brewer haul ol ' drip maker back cabinet . taste coffee rate five star . factoring price , would fewer star ."
114135,114136,B004FELBH8,A36K2N527TXXJN,Dr. Bojan Tunguz,1,1,5,1304121600,tasty little snack,"< href= '' http : //www.amazon.com/gp/product/b000f9xbie '' > fig newton < /a > favorite cooky . like nice balance fruity filling chewy cookie . ordered thins expected similar flavor newton familiar , turned entirely different type sweet . similar kind thins . fig flavor noticeable , 's overwhelming . n't able discern honeyr aroma , term general sweetness . actually like thins lot , restrain eating many time . make great accompaniment tea coffee . overall , tasty thins ."
271988,271989,B004VLVQZC,A3BDO5NTTNDG7A,Tightwad,0,0,1,1347840000,worm !,"spicy world brown sesame seed arrived living worm crawling around inside package . read review spicy world sesame seed discover , , worm sesame seed common problem . disappointed . amazon issued refund. < br / > < br / > also , way tell old product . representative spicy world said required print expiration date product package spice. < br / > < br / > video worm upload , n't agree amazon 's term . `` 3 ) license grant material . hereby grant amazon affiliate worldwide , nonexclusive , royalty-free , perpetual right license ( ) reproduce , distribute , transmit , publicly perform publicly display material , whole part , manner medium , ( b ) modify , adapt , translate create derivative work material , whole part , manner medium , ( c ) sublicense foregoing right , whole part , third party , without fee . ''"
302764,302765,B000ZH04L8,A1NPHWZRB228G9,"William B. Boyce ""Still Looking""",0,0,4,1342915200,worth money !,"bar great hiking , packing , general use. < br / > good breakfast substitute something fill belly healthy busy day. < br / > < br / > love oat bar ! < br / > 've tried good ."
475002,475003,B0026WL1F8,A1EU1MI5Q0J0WN,"K. Bittner ""Kenswheels""",0,1,5,1232236800,"great product , sloppy service","pepperoni fantastic , usual . amazon . cancelled order end ( duplicate son 's ) , n't acknowledge although got e-mail confirming cancellation . `` food '' return . look like 2 bag every 3 month instead one ."
238399,238400,B0009X1P7A,A18KMOFIUPFJL8,Sportschick,0,0,1,1332115200,awful,"first , thing huge . would good great dane , . able actually cut small piece ( took 20 minute hack softest part ) , dog able chew came apart chunk . dangerous even eat , afraid would choke , small yorkie. < br / > < br / > thing ear stunk . whatever smoke stuff put , got everywhere . guess really large dog give outside , would good product . n't work ."
172242,172243,B002EDEMLY,AG31I44WVS415,Eric Hawkins,3,13,1,1299196800,"absolutely aweful ! terrible say , terrible !",yuk ! thing taste horrible . thought `` twizzlers '' bad `` red vine '' much worse . tasted like kind chemical perhaps preservative . avoid cost ! ! !
12905,12906,B000IZTDWS,ACJ3LD3PUCJKG,T. Young,0,0,5,1170374400,dog love em good,"purchased picky eater . totally love . large dog gave plenty chew time . allergic lot dog food treat . glad find , allergic reaction really loved . wish local pet store carried ."
144865,144866,B002OFUBJO,A3OSITZY7APMS3,Sean,1,1,3,1303084800,good flavor bit tough,really like flavor bit tougher used . dont think buying .
157806,157807,B000TK6LBS,A33NXNZ79H5K51,"Jean M ""JM""",0,0,5,1332460800,anytime day coffee,tried first time today enjoyed . mild bold enough flavor could drink afternoon cup feeling sluggish . bitterness smell house brewing caribou coffee estanlishment.i normally lean towards italian french blend really like . great medium roast like .
401112,401113,B000KENKXA,A2NSJD195X365C,"Margaret Kornberg ""Peggy loves to cook""",2,2,5,1265760000,gluten free cornbread mix,added mild roasted chili pepper drained corn . really good easy compared trying make scratch . careful overcook dry .
284192,284193,B0051COPH6,AJ2FDNZ3COBFN,Cassie,0,0,5,1332288000,good,"tasted n't taste half bad . n't want feed baby something disgusting , however nutritious . learning eat solid seems like food lot far . little pouch convenient carry around allow feed little time . first squirt came kind fast flew onto sleeve watch . agree others said expiring fast . may due received vine hope use time . 'm thinking buying flavor brand future ."
422776,422777,B001BM4NAE,A1MGP9NZQ5V7KU,Patricia L. Ovitt,1,1,2,1186531200,disappointed,"always loved chip buy often grocery store . since amazon offered good price purchased case , however , upon receipt disappointed immediately notified company ( garden eatin ) . good one grocery store ( seemed darker greasier ) wondered old . expiration date indicates fine . dislike , though love store one , decided keep . salsa fix anything . however , purchase bulk amazon . biggest disappointment company never responded email ."
293304,293305,B000ILILM0,A1MS9UQX4MX680,"mmarch ""mmarch""",0,0,5,1268092800,amazing,"cookies- pamelas simplebites product - truly amazing . searching forever even decent tasting gluten-free cookie incredible ! ! ! ! ! ! ! ! ! possibly even better regular cooky ! let . fooled regular sized pamelas cooky , n't like much love ."
226591,226592,B000FFLTEG,AH7MLDP5HOIRQ,PEB,8,8,4,1180137600,simply delicious,"dry soup , good ? quite good . ready minute . buy product regular basic ."
149969,149970,B003M60K54,A209QRVZ99UQDC,Calamity Jane,1,1,5,1328486400,best dental health,"vet showed 14-year-old cat 's teeth gum bad shape . teeth stained layered plaque . gun bright red along edge . gingivitis . facing $ 300+ teeth cleaning bill cat . vet recommended try hill 's dental diet first . two month eating , cat returned vet . large , hard nugget cleaned plaque teeth . gum longer red , pink healthy . hill 's needed . thrilled results. < br / > < br / > yes , food expensive , teeth cleaning bill cat , well dental problem n't . cat 's mouth improved , cut back hill 's . feed cat main diet purina dry , still give 8-10 hill 's nugget day . 's mixed diet one year teeth gum still good healthy . hill 's large nugget act like tooth brush scrape cat 's teeth. < br / > < br / > pound per pound cat food actually le expensive little bag tarter control cat treat buy supermarket . get control cat 's dental problem maintain giving several hill 's dental diet nugget day . cat problem yet , consider giving small handful hill 's dental nugget ward future problem . stuff work !"
339897,339898,B0014ET1WE,A2I26J87IO5P7M,Ryan Mitchell,2,5,3,1240444800,"decent amount clam , bland taste","surprised amount clam chunk -- usually , try save money putting couple chunk calling `` clam chowder . '' 's ton chunk , 's average-ish amount. < br / > could n't get though , incredibly bland taste . ingredient confirm thickening produced entirely cornstarch water . blah-cornstarchey taste . gross ."
371687,371688,B000Q71L50,A1SLSU5VAOYTH0,Scott Pelton,0,0,4,1304726400,"great tasting snack , way overpriced sale !","really like taste little cooky , best flavor ( imo ) . got marked $ 12 felt like paying ok price . gone back price , waiting come back buy ."
222816,222817,B005HGAV88,A1MIF84YZKY5NK,W. R. Goldsborough,1,1,4,1336867200,nice variety,looking pleasing variety bedtime tea ? fit bill .... soothing tasty . friend really appreciate choice caffine free tea evening . reordering today .
188718,188719,B000HJPBGC,AJODFYZSKNNWI,"C.C. ""Ducks""",0,0,4,1284768000,great coffee,"coffee good , buying quite awhile love , better coffee , price , excellent , coffee smooth taste good , also purchased costco , price probably better though . magnum company located michigan , others also good , jamaican mountain blue terrific , bit expensive , smooth good , try , 'll love , live ."
66692,66693,B000ZT12NK,A2GEZJHBV92EVR,History buff,0,0,5,1345507200,good milk . hefty price .,"love chocolate milk skeptical shelf stable milk would taste . pleased , flavor good . price ! gave 5 star flavor . going downgrade flavor price . n't buy drink every day . buy & white milk emergency food supply . small size perfect . allows drink milk & worry keeping open leftover cold . leftover ! nice product emergency food supply ."
38534,38535,B005HTY8OS,A4SWNU42MRVW1,Drdavis,0,0,1,1344816000,weak hot chocolate,weak tasting product . watered hot chocolate best . hoping would organo gold product would enjoy . purchase .
450430,450431,B000FEFELG,A1JYVHTF738C9X,Carol,0,0,3,1306195200,reese cheesoning,order amazon.com 6 bottle reese cheesoning . box seemed plenty padding yet one bottle broken . could contact anyone problem replacement . first opportunity 've report problem . 've used brand cheesoning many year . opened one bottle smell taste stale . 'll put want bottle replace broken one .
329987,329988,B002QWHJOU,A2SLPWNVXLZDAV,Bev Scott,0,3,5,1304899200,yummy ! ! !,"name duncan , 'm mommy 's boy , dad love much give one every day supper . taste great clean teeth time . friend love , ! buy amazon price good . 'm going get automatic sending list , 'll never run !"
384977,384978,B001RNHITU,A2A3XV2R7CQMBV,"Amanda Peck ""amanda931""",1,2,5,1250208000,high class ramen,", say package ramyun. < br / > < br / > really right spicy . ( high salt msg ) broth package dried vegetable packet . mushroom packet never cook desired doneness , edible. < br / > < br / > may say eccentric think great breakfast. < br / > < br / > unfortunately , sale bought , available . 'm one package left ."
277818,277819,B002OMV09W,A3A2E86JHAPGIZ,mispolomino13,2,9,1,1278892800,false advertising,"paid much higher price plant , thinking would get best . received telling sow seed til sprouted . , sprouted yet . company advertised plant , send seed"
68447,68448,B00080QKT2,A1NMGX8SJPVAHX,"Amber Worth ""Whisper sync broke audible for a...",3,5,5,1318464000,got present big brother loved .,"one line enough . see title.oh irritating . amazon , making post long review review irritating , tea good ."
553585,553586,B001E6IULK,A2JZE14RJAITQ8,"G. Proulx ""Up to my Neck in Tech""",0,0,4,1330300800,"great lunch packer , little hard","subscribe save since go many . great , easy , snack either pack lunch , grab go . sure , may health food , least filling snack tide next meal. < br / > < br / > quite hard 'd nice little softer , nonetheless still enjoy . enjoy real peanut butter slathered around outside . overall , tasty snack good price , especially use subscribe save ."
194982,194983,B0000DYVLY,ADHQ4L92YUHK0,"Daniel T. Williams ""DWill""",6,28,5,1101168000,"pistachio , god thinking ?","jesus saved holy mesiah drowning making noah build giant boat , must messed let pistachio boat . creates pecular object ? ackward shell outside hiding hidious greenish brown nut inside . nerd nut family people . shell doesnt little helper crack make easy peel . bite something get shell mouth . horriable nut could deemed livable , band together rid world pistachio . maybe called something cooler would different view . calling `` evil nut hell 's color best described breen , mix brown green '' , would problem . band together fantasy could become reality . maybe well call tenfhtcibdabamobag short. < br / > < br / > actually think , love pistachio name . disregard everything stated go eat ."
554150,554151,B000RT9JCE,A1MWJUH06NY5ZF,"R. D. Dell ""dan dell""",1,1,5,1297468800,trident 's best flavor !,"cool rush great flavor become hard find retail stores. < br / > wish manufacturer would get back shelf soon . long-lasting flavor , favorite gum !"
246746,246747,B000G7TH24,A1GJ8GVQMV9A7V,Love to read,0,0,4,1313539200,good ... great,"reading review , higher expectation . good , feel like need add fruit , dried fruit nut make plain old granola ."
487662,487663,B000GJQ5C2,A1YO9KVF7A4W0N,Politicking,0,0,5,1325635200,amazing cake ! moist !,"little disappointed received cake christmas . tell tasting , feeling gone . cake delicious !"
287996,287997,B003YH9E4E,A27Q1X75QCWTID,Amanda Devon,4,4,5,1333756800,picky papillon love,"papillon ( age 8 9 ) pickiest damn dog ever met . know vet say `` eat eventually , wo n't starve '' ? well , . damn dog would starve n't get eat something liked . struggling year find food made china , made chicken china even manufactured usa . finally , found halo . integrated halo spot stew kibble halo spot 's stew chicken canned pap diet 2 week . week one ate half halo end week two eating halo product small amount old brand left bowl . skin fantastic , poop perfect consistency ( hard soft ) energetic happy excited meal time . also feed halo lil bit freeze dried chicken treat . ingredient usa made solely . , thrilled favorite tv talk show host , ms. ellen degeneres part owner company. < br / > < br / > thank amazon offering hard get somewhat small town pet store seem cater gross china food make dog sick ."
92775,92776,B001L048WO,A2UE1811ZZOPVJ,C. Reid,2,10,3,1276300800,ok,"cam time exactly advertised , find taste like sugar ."
26912,26913,B0047E7EYK,A1RDARTK3VQ4AU,gooniegoogoo,0,0,5,1350000000,best !,n't eat sweet eat fudge pleasure tasting many fine recipe none tasty mo 's - none. < br / > tried standard chocolate vanila crunch die . reluctantly shared four others really taken back good fudge 's - hit way around : ) . < br / > one thing note fudge ( bought 1/2lb ) came lovely decorative box totally suitable gift giving could purchase sent directly gift knowing arrive wrapped nicely professionally. < br / > review like include `` con '' simply none mo 's fudge - never buy fudge doubt either give try .
340022,340023,B000EYPNCW,AY29CL3RQ1BDX,"D. Olson ""Happy Girl""",2,2,4,1219622400,like real sweet corn,actually taste like real sweet corn kernel . hoping crunchy `` corn nut '' taste . airy still tasty .
160670,160671,B001BOQ3SW,A30KNLUAYQ73F2,"P. A. Kettlewell ""handyhen""",11,11,5,1196121600,allergy dealt ! ! !,"black german shepherd allergy corn & wheat , seems primary ingredient dog food . suffered year , cooking chicken , hamburger , rice keep healthy found wellness product . turned beautiful , scratching licking youthful dog . also feeding lab corgi food similar result . thank wellness ! ( incidentally food sold vet hypo-allergenic either corn syrup & /or wheat germ . read label , way thru fine print ! ) another added benefit larger dog incorporation glucosamine & chondroitin , saving additional vet bill ."
222748,222749,B002OFH5G6,A2JQ9N3SZUDTQ2,"JackMetal ""mjack""",0,0,4,1334534400,good bar fattening ....,"bar really good . soy poison . one issue agave , basically sugar . 've conducted experiment concluded make gain fat , 're trying lose weight good idea unless 're extremely hungry need eat something .."
546831,546832,B0018CEABE,AU382IFSHQY0,"Timothy Beuthien ""Tim""",2,2,5,1255046400,dog love canidae,"dog diarhea problem sort dog food past . switched couple month ago great . food recommended pet store agree healthy , gentle dog touchy stomach ."
351990,351991,B000M0F58U,A3PA1Q5C43YY52,Andrea Rivers,0,0,5,1329523200,good tea,"good tasting tea great price . n't normally like raspberry flavor , n't really raspberry flavor , make sense . heavy flavor ."
276097,276098,B000FBMFDO,AB9HWBI6SLMIU,Santa Fean,0,0,5,1257552000,thing work,"spent three year trying get rid pocket gopher n.m. back yard . spent many hundred dollar trap , store-bought gas bomb , `` professional '' gopher trapper , `` professional '' gaser ( pest company -- use aluminum phosphide ) . nothing worked . first day set four , caught pocket gopher one . one case , n't trap positioned precisely enough vermin got around it. < br / > placing trap take time practice , 's thing worked . unlike poison , see proof success . use carrot trap . 've used piece sandstone paper outside trap keep dirt cover trap soil . dig trap day two , 's way sure light getting ."
254585,254586,B008QLRHDS,AVFBH3IXLTOHZ,Elizabeth Boatwright,5,14,1,1320710400,way overpriced,1-10 count box $ 9 vons ... expensive amazon ? wo n't purchasing amazon price come significantly .
425912,425913,B000TQEWM2,A304I97FHXQQTS,Antec,0,0,5,1317513600,delicious ! !,"coffee good good flavor .. strong light , right= )"
415069,415070,B0002B0RDM,APWGD0ZDM093W,"George Rodrix ""Carioca rover.""",1,1,5,1237420800,shipping,"great product . easy drink , nice taste reminds almond , nutty taste . enjoy unsweetened . effective , one week , along natural diet , blood pressure lowered 20 + point . remarkable company 's shipping . extremely fast shipping ."
99633,99634,B0015ICUUE,A2T93I8CQEXX0U,sdgirl_34,0,0,5,1326758400,huge hit,"ordered use white elephant gift christmas . big success , everyone eye ! individual wrapped piece easy share crowd , 'm sure show next year !"
165747,165748,B000CPZSC8,A2FBS46XQ07H5R,Bridget,0,0,5,1290470400,great vanilla bean !,"received vanilla bean super fast ! bought make homemade vanilla perfect ! great bargain , 'll definitely purchase vanilla bean guy ! thanks !"
6679,6680,B001LG945O,A1NS6O584WD5FJ,William Polm,0,0,4,1245715200,good alternative regular orange soda,"daughter think taste like sunkist orange soda , grandson like drank rest ( ) . thought okay ( fan orange soda ) ; would undoubtedly like better another flavor , like grape , fruit punch , kiwi berry. < br / > think , course , much healthier alternative regular soda . judging dautgher 's grandson 's experience , would hit kid ."
395716,395717,B004V3INKQ,ANF7RCFKKEBP6,Miss Priss,0,0,5,1350432000,amazon van houtte raspberry truffle keurig k cup,absolutely amazing tasting ! ! ! ! ! quite surprised would incredibly delicious ! ! ! ! ! ! ! certainly would recommend friend
345618,345619,B000PFEWEA,A3IGQPI6A25X7Y,chuck,0,0,5,1303603200,new hot sauce great must try .,"hey order product line market area yet , well worth order sauce great . real spicy dont afraid try even dont like spicy thing . real popular day ill wager . chuck douglas"
511599,511600,B0013NE28E,A1NPQF53JRZ59B,Julie Livingston,0,0,4,1333584000,: ),good product . great deal would recommend friend . rare find color like one package .
393999,394000,B000WVY4PE,A2GN22343BJY3S,issi27,2,3,5,1301443200,keep mother-in-law regular,great product . send mother-in-law stay regular . medical issue quite time could never find anything would work continuous basis . trick .
449189,449190,B0014UFXGG,A1OH6QJXRJTZV3,cityoftheangels,2,4,4,1274745600,xylitol good z sweet fewer side effect,"xylitol recommended doctor help combat familial tendency towards diabetes . much like sugar taste form - offered terrific way deal preference sweetened tea coffee . ( several doctor specifically recommended use splenda artificial sweetners . ) gastrointestinal side effect xylitol however. < br / > < br / > product called `` z sweet '' introduced alternative xylitol ... z sweet us erythritol mixed bit stevia ( though licorice aftertaste ) . erythritol seems advantage xylitol , fewer side effect . taste nearly identical - though prefer z sweet combo . memory serf , z sweet/erythritol dangerous dogs. < br / > < br / > find xylitol useful life , , might want know eryithritol ( z sweet ) addition ."
302757,302758,B004289G4W,A3DZF44EA03T5Z,Roy Clark,0,0,5,1341446400,great find !,"made challenging beagle puppy take liking biscuit treat well training , grabbed inexpensive treat try . love trained well ! love salmon one . love sooo inexpensive one bag go long way ! also like reclosable bag come bc stinky . little heart shape perfect size , actually trained breaking half . good substance hearty enough great satisfaction ."
181390,181391,B007PA34DS,A1J79CHIUWTEB4,"S. Britt Sr. ""HumanBean""",1,1,5,1314489600,favorite decaf,"n't found decaf like better . took forever get though . slow shipping . still , 'd buy . coffee worth ."
376748,376749,B000LR4E6I,A36U7NO5WC37HO,Yu Kwan Cheng,7,8,1,1315008000,misleading picture description,"item sold shipped [ ... ] nothing like pictured , mentioned x oz/jar , like 5oz/can . first opened pull tab came right . 'm stranger pull tab feed cat can pull tabs. < br / > < br / > recommend going site [ ... ] . picture accurate product . title site `` russian caviar since 2004 , shipped usa '' . notice product title start `` alaskan salmon '' , minor quib , ... < br / > < br / > order consists 4 can `` grained salmon caviar '' look smell nothing like sushi restaurant roe . lot egg crushed 'd say around 80 % 90 % . one get sushi restaurant intact little bubble . might concentrate , n't remember roe restaurant smelling like olive . n't like olive < br / > < br / > label russian see `` made usa '' made march 28 , 2011. contradicts description 2 week shelf life . product already expired , possibly mean opened . september received . bit turned large difference ship made date. < br / > < br / > order arrived day later expected . fine however shipped inquired status . shipper said he/she `` sorry town '' . product pack tightly , ice pack packed already melted time got ( opened package immediately upon receiving , knowing perishable ) . < br / > < br / > first time ordered salmon roe , perhaps come like . however still inconsistency product 's page , need pointed ."
393922,393923,B005KGMRGO,A1K71POXDF0945,Alan,0,0,5,1341964800,guest loved !,"served kaldi sauce little gathering friend past sunday - thought would fun different people try , since kaldes brother local success story . guest loved sauce , ! really taste difference - n't feel processed jarred sauces. < br / > < br / > gave left bottle guest take home party favor . yesterday , dropped say hi one , snacking one sauce slice french bread . definitely going start giving gift foodie friend ."
197937,197938,B0078Y6CN0,A2Z0UU1XYGFLC2,"EPRives2012 ""Ezequiel""",0,0,4,1302825600,great deal good brew,"must say bought two reason . one , price right second , chocolate . actually liked one better others except cafe mocha . say , 'm going search cafe mocha amazon . price right 'll buy ."
381663,381664,B000NJH4KM,A3AGLGTXZHYEIE,Tank,0,0,4,1342137600,impressed ! ! !,pleased finishing salt . add depth one presentation factor . thanks quickness shipping highly recommend product .
267415,267416,B001ELL9QS,A12S5JMBF5Y9K3,"Amazon Girl ""Cat Lady""",0,0,5,1264896000,"extreme health organic green tea , loose leaf","bought tea amazon used bag want . one best green tea ever used even husband ( fan green tea ) really like , hot iced . please restock . frequent amazon customer ."
326306,326307,B001ABTGQW,AS9TCRNBTI1I2,Lennie,0,0,5,1310774400,"cool refreshment , alot flavor ,","like cool refresing vanilla spiced chai tea drink every day . share husband , like also . ordering drink mix amazon make affordable ."
556910,556911,B000H0ZJHW,AAO45U5T6LX9J,Willie,0,0,5,1240704000,great treat !,dog love treat 's enough bag last long time .
294506,294507,B000OZP7CM,AY15MC2219ZY7,gerberia,2,6,2,1329782400,could n't get bottle !,"excited start using coconut oil cooking heard much health benefit . however , tall blue bottle arrived , could actually get solid coconut oil bottle ! anyone suggestion ?"
501778,501779,B000E46GSW,A1PW38OAFQNSC6,MWP,1,1,5,1266451200,best ...,"best granola bar eaten far . chewy , tasty .. feel like eating bland cardboard . kid love !"
